,Judul,Link,Waktu,Isi Berita,Kategori
0,Pengelola: Belum Ada Laporan Kasus Covid-19 di Ancol,http://megapolitan.kompas.com/read/2020/03/14/10225701/pengelola-belum-ada-laporan-kasus-covid-19-di-ancol?page=all,"14/03/2020, 10:22 WIB","JAKARTA, KOMPAS.com - Pengelola Taman Impian Jaya Ancol, Jakarta, menyebutkan belum ada pasien yang terjangkit virus Covid-19 meskipun akan dilakukan penutupan sementara selama 14 hari.
""Sampai saat ini belum ditemukan kasus Covid-19 yang dilaporkan di Taman Impian Jaya Ancol,"" tutur Rika, Corporate Communications PT Taman Impian Jaya Ancol melalui keterangan tertulis di Jakarta, Jumat (13/3/2020), seperti dikutip Antara.
Rika mengatakan, pengelola mendukung imbauan Pemerintah Provinsi DKI Jakarta untuk menutup obyek wisata sejak 14-27 Maret, guna mencegah penyebaran virus Covid-19.
Baca juga: Fakta Pasien Positif Corona Kabur dari RSUP Persahabatan, Takut Tertular, Kini Diisolasi Kembali
Hal itu sebagai upaya preventif sesuai dengan Instruksi Gubernur DKI Jakarta No.16 Tahun 2020 Tentang Peningkatan Kewaspadaan Terhadap Risiko Penularan Infeksi Corona Virus Diseae (COVID-19)
Sebagai kawasan wisata yang kerap dikunjungi ribuan pengunjung setiap harinya, Taman Impian Jaya Ancol akan menutup sementara waktu seluruh unit rekreasi, seperti Kawasan Pantai, Dunia Fantasi, Atlantis Water Adventures, Ocean Dream Samudra, dan Sea World Ancol.
Selama penutupan, pengelola Ancol akan melakukan pemeliharaan menyeluruh seluruh wahana dan fasililitas rekreasi dengan disinfektan, serta pelengkap sanitasi lainnya.
Pemprov DKI Jakarta memutuskan menutup semua tempat wisata milik DKI selama dua pekan mulai Sabtu (14/3/2020) hingga Minggu (29/3/2020).
Baca juga: Cegah Penularan Covid-19, Pimpinan UI Larang Dosen, Mahasiswa, Pegawai ke Luar Negeri
Langkah tersebut untuk meminimalkan penyebaran virus Corona di Ibu Kota.
""Semua destinasi wisata dan tempat hiburan milik Pemprov DKI Jakarta akan ditutup selama dua minggu ke depan,"" ujar Gubernur DKI Anies Baswedan dalam konferensi pers di Balai Kota DKI Jakarta, Jumat.
""Itu artinya, kalau tempat wisata, Ancol tutup, Ragunan tutup, Monas tutup, museum yang dipegang oleh DKI tutup,"" lanjut dia.
Baca juga: Pemprov DKI Tutup Ancol, Ragunan hingga Monas Selama Dua Pekan 
Selain itu, Pemprov DKI juga meniadakan hari bebas kendaraan bermotor atau car free day selama dua pekan. Sementara transportasi umum tetap beroperasi.
Anies menyampaikan, penutupan semua tempat wisata bertujuan meminimalkan kegiatan warga di tempat keramaian demi mencegah penyebaran virus corona tipe 2 yang menyebabkan penyakit covid-19.
""Tujuannya apa? Meminimalkan kegiatan warga di ruang terbuka yang penuh dengan warga,"" ucapnya.
Berikut daftar 21 tempat wisata milik Pemprov DKI yang ditutup selama dua pekan:
1. Kawasan Monas
2. Ancol
3. TM Ragunan
4. Anjungan DKI di TMII
5. Planetarium Jakarta
6. PBB Setu Babakan
7. Rumah Si Pitung
8. Pulau Onrust
9. Taman Benyamin Suaeb
10. Wayang Orang Bharata
11. Miss Tjitjih
12. Gedung Latihan Kesenian (5 wilayah kota)
13. Gedung Kesenian Jakarta
14. Museum Sejarah Jakarta
15. Museum Taman Prasasti
16. Museum MH Thamrin
17. Museum Seni Rupa & Keramik
18. Museum Tekstil
19. Museum Wayang
20. Museum Bahari
21. Museum Joang '45
Hingga Jumat sore, ada 69 kasus positif covid-19 di Indonesia. Dua orang di antaranya merupakan balita.
Empat orang dari 69 pasien positif covid-19 telah meninggal dunia. Sementara pasien yang dinyatakan sembuh sebanyak lima orang.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",0
1,Kasus Covid-19 di Indonesia Tersebar di 8 Provinsi,http://nasional.kompas.com/read/2020/03/14/17240961/kasus-covid-19-di-indonesia-tersebar-di-8-provinsi?page=all,"14/03/2020, 17:24 WIB","JAKARTA, KOMPAS.com - Juru bicara penanganan corona Achmad Yurianto mengatakan, kasus virus corona (Covid-19) tersebar di delapan provinsi di Indonesia.
Yuri mengatakan, delapan wilayah itu adalah DKI Jakarta, Jawa Barat, Jawa Tengah, Daerah Istimewa Yogyakarta (DIY), Bali, Kalimantan Barat, Sulawesi Utara dan Banten.
""Kita lihat sebarannya sekarang melebar ke Jakarta DKI, Jawa Barat di sekitar DKI termasuk di Bandung, kemudian Tangerang, Jawa tengah sudah kita dapatkan kasusnya di Solo dan Jogja, di Bali, di Manado, Pontianak,"" kata Yuri di Gedung BNPB di Jalan Pramuka, Jakarta Timur, Sabtu (14/3/2020).
Baca juga: UPDATE: Bertambah 27, Total Kasus Positif Covid-19 di Indonesia Jadi 96
Yuri mengatakan, pemerintah saat ini sedang menelusuri kasus virus corona di daerah-daerah tersebut.
""Ini yang membuat kita tracing lebih keras lagi, ini yang jadi penting di dalam perubahan respons terkait WHO menyatakan ini sudah Pandemi,"" ujarnya.
Lebih lanjut, Yuri mengatakan, setiap daerah terus melakukan pengawasan yang lebih ketat dengan pendekatan base case dan community base.
""Tetapi harus fokus pada community base berbasis pada masyarakat informasi. Data akan kami rilis di website, website ini akan kita satukan ke BNPB,"" pungkasnya.
Sebelumnya, Yurianto mengatakan, kasus positif Covid-19 di Indonesia per Sabtu (14/3/2020) siang mencapai 96.
Jumlah itu bertambah 27 dari sehari sebelumnya atau Jumat (13/3/2020).
Baca juga: UPDATE: Tambah 3, Total 8 Orang Sembuh dari Corona di Indonesia
""Ini didapatkan dari tracing yang kita kerjakan secara masif,"" kata Yuri di Gedung BNPB, Jakarta, Sabtu.
Dari jumlah itu, sebanyak delapan pasien dinyatakan sembuh.
""Indikasinya tidak ada keluhan fisik dan dua kali pemeriksaan virus dinyatakan negatif,"" ujar Yuri. Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
2,"Selain Daniele Rugani, Belum Ada Lagi Kasus Covid-19 di Juventus",http://bola.kompas.com/read/2020/03/16/15100068/selain-daniele-rugani-belum-ada-lagi-kasus-covid-19-di-juventus?page=all,"16/03/2020, 15:10 WIB","KOMPAS.com - Juventus melaporkan bahwa belum ada lagi kasus Covid-19 setelah bek Juventus, Daniele Rugani, positif terpapar virus corona pada Rabu (11/3/2020).
Hal ini menunjukkan kesigapan tim medis Juventus mengingat Daniele Rugani positif terjangkit virus corona kendati ia tak menunjukkan gejala-gejala sakit atau asymptomatic.
Setelah Rugani positif terjangkit virus corona, Juventus langsung melakukan lockdown.
Sebanyak 121 anggota skuad, staff pelatih, serta pekerja lain di Juventus masuk masa isolasi diri.
Tuttosport melaporkan bahwa mereka akan menjalani uji corona dalam waktu dekat.
Baca juga: Lagi, Gestur Istimewa Juventus Kepada Para Fans di Tengah Lockdown Italia
Apa yang terjadi di Juventus merupakan kabar positif mengingat pesatnya penyebaran virus corona di Fiorentina dan Sampdoria.
Terkini, sudah tujuh pemain Sampdoria positif mengidap Covid-19 setelah Manolo Gabbiadini menjadi yang pertama di skuad asal kota Genoa itu pada Jumat (13/3/2020).
Para pemain itu adalah Manolo Gabbiadini, Omar Colley, Fabio Depaoli, Albin Ekdal, Antonino La Gumina, dan Morten Thorsby.
Sementara, Patrick Cutrone dan kapten German Pezzella adalah dua pemain Fiorentina yang positif Covid-19.
Selain itu, Stefano Dainelli, sang fisioterapis juga terjangkit virus corona.
Baca juga: GP Australia Batal, 1800 Ban Formula 1 Jadi Korban
Hingga Senin (16/3/2020) sore WIB, Italia telah melihat 24.747 kasus virus corona dengan 1.809 angka kematian.
Italia mempunyai jumlah penderita virus corona dan angka kematian kedua tertinggi di dunia setelah China.
Sebanyak 2.335 orang di Italia juga dinyatakan pulih dari Covid-19.
Italia telah melakukan lockdown untuk membatasi mobilitas warganya sejak Senin (9/3/2020).
Selasa ini, UEFA dikabarkan bakal mengundur Euro 2020 agar liga-liga Eropa, termasuk Liga Italia, Liga Inggris, Liga Spanyol, dan Liga Perancis, bisa diselesaikan.
Liga Champions dan Liga Europa juga masih harus dituntaskan.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",2
3,Karantina Wilayah Dinilai Bisa Jadi Opsi jika Kasus Covid-19 Meningkat hingga 3 Kali,http://nasional.kompas.com/read/2020/03/16/19460111/karantina-wilayah-dinilai-bisa-jadi-opsi-jika-kasus-covid-19-meningkat?page=all,"16/03/2020, 19:46 WIB","JAKARTA, KOMPAS.com - Ketua Ikatan Ahli Kesehatan Masyarakat Indonesia (IAKMI) Ede Surya Darmawan menilai, pemerintah dapat mempertimbangkan opsi karantina atau lockdown di wilayah yang peningkatan kasus infeksi virus corona atau Covid-19 cukup tinggi .
Ede mengatakan, langkah itu dapat dilakukan untuk meningkatkan kewaspadaan dan kesiagaan pada wabah virus tersebut.
""Pemerintah perlu mempertimbangkan perlunya karantina total atau area lockdown pada daerah tertentu di mana dilaporkan telah terjadi dua-tiga kali lipat peningkatan jumlah orang yang terinfeksi virus corona Covid-19,"" kata Ede dalam keterangan tertulisnya, Senin (16/3/2020).
""Kewaspadaan dan kesiagaan pendekatan public health emergency menjadi penting dan mendesak,"" ujar dia.
Baca juga: Wabah Virus Corona, Pakar Nilai Indonesia Tidak Perlu Lockdown tapi...
Selain itu, Ede juga meminta pemerintah tetap melakukan upaya pencegahan ditingakat masyarakat melalui Gugus Tugas Covid-19 yang baru saja dibentuk.
""Di antaranya dengan tetap mengedepankan upaya preventif melalui gerakan cuci tangan dengan sabun secara sering dan rutin, menjauhi diri dari potensi infeksi, serta etika batuk yang baik,"" ucapnya.
Sebelumnya, Presiden Joko Widodo memastikan bahwa pemerintah daerah tidak bisa melakukan lockdown wilayahnya.
Menurut Jokowi, yang bisa menentukan kebijakan lockdown adalah pemerintah pusat.
Baca juga: Jokowi Larang Pemerintah Daerah Lakukan Lockdown Terkait Covid-19
Akan tetapi, hingga saat ini pemerintah belum berpikir untuk melakukan lockdown wilayah.
""Kebijakan ini tak boleh diambil oleh pemda, dan tak ada kita berpikiran untuk kebijakan lockdown,"" kata Jokowi.
Diketahui, jumlah pasien positif terjangkit virus corona di Indonesia bertambah menjadi 134 kasus hingga Senin (16/3/2020).
Angka ini bertambah 17 kasus baru dari pengumuman yang dilakukan kemarin.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
4,Kota Bogor Masih Bebas dari Kasus Covid-19,http://megapolitan.kompas.com/read/2020/03/16/21422921/kota-bogor-masih-bebas-dari-kasus-covid-19?page=all,"16/03/2020, 21:42 WIB","BOGOR, KOMPAS.com - Kota Bogor sampai saat ini masih bebas dari kasus positif virus corona (COVID-19), meskipun ada 28 orang pernah berstatus orang dalam pemantauan (ODP).
Sebanyak 20 orang di antaranya sudah dinyatakan negatif.
Hal itu disampaikan Wakil Wali Kota Bogor Dedie A Rachim di Balai Kota Bogor, Senin (16/3/2020), usai melakukan komunikasi jarak jarak jauh melalui video dengan Gubernur Jawa Barat Ridwan Kamil.
Baca juga: Jam Operasional Transjakarta, MRT, LRT Kembali Normal, tapi Penumpang Dibatasi 
Menurut Dedie A Rachim, sebelumnya ada 25 orang dengan status ODP, tapi 20 orang di antaranya telah dinyatakan negatif terinfeksi Corona.
""Lima orang lainnya masih dalam pemantauan oleh Dinas Kesehatan,"" katanya.
Per Senin hari ini, kata dia, orang dengan status ODP bertambah tiga lagi yakni Wali Kota Bogor, Kepala Dinas Penanaman Modal dan Perizinan Terpadu Satu Pintu (DPMPTSP) serta Kepala Bagian Pemerintahan Kota Bogor yang baru kembali dari luar negeri.
""Jadi orang dengan status ODP saat ini ada delapan di Kota Bogor,"" katanya.
Baca juga: Kapasitas Angkut Dikurangi, Bus Transjakarta Ditambah di Rute Banyak Penumpang
Bima Arya dan rombongan baru kembali dari kunjungan kerja ke Turki dan Azerbaijan, tiba di Bandara Soekarno-Hatta, Tangerang, pada Senin hari ini, kemudian kembali ke rumahnya di Kota Bogor.
Dedie menambahkan, selain itu ada dua orang warga Kota Bogor yang sebelumnya dinyatakan berstatus pasien dalam pengawasan (PDP).
""Keduanya telah dirujuk ke Rumah Sakit Sulianti Saroso di Jakarta, tapi satu pasien telah dinyatakan negatif,"" katanya.
Baca juga: Sembuh dari Covid-19, Kasus 02: Warga Depok Please Jangan Panik
Hingga Senin, pasien terinfeksi virus corona atau Covid-19 bertambah sebanyak 17 orang menjadi total 134 pasien.
Secara khusus, lokasinya berada di Jawa Barat (satu pasien), Jawa Tengah (satu pasien), Banten (satu pasien), dan DKI Jakarta (14 pasien).
Sejauh ini, pemerintah telah mengumumkan ada delapan orang yang telah sembuh dari perawatan Covid-19.
Adapun lima orang telah meninggal dunia setelah sebelumnya sempat dinyatakan positif virus corona.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
5,[POPULER TREN] Gejala Awal Infeksi Virus Corona | Kasus Covid-19 di Indonesia,http://www.kompas.com/tren/read/2020/03/17/052500965/-populer-tren-gejala-awal-infeksi-virus-corona-kasus-covid-19-di-indonesia?page=all,"17/03/2020, 05:25 WIB","KOMPAS.com - Sejumlah pemberitaan menghiasi laman Tren sepanjang Senin (16/3/2020).
Informasi perihal perkembangan virus corona masih mendominasi dan menjadi perhatian utama pembaca.
Selain gejala awal infeksi virus corona, daftar wilayah di Indonesia yang melaporkan kasus positif virus corona menjadi magnet bagi pembaca untuk mengakses informasi Covid-19.
Berikut berita terpopuler Tren, sepanjang Senin (16/3/2020) hingga Selasa (17/3/2020) pagi.
1. Gejala awal infeksi virus corona
Wabah virus corona masih menjadi kekhawatiran di seluruh penjuru dunia.
Jumlah kasusnya di banyak negara semakin bertambah, meskipun angka kesembuhan juga menunjukkan persentase yang tinggi sehingga memberikan optimistis tersendiri.
Edukasi kepada warga dunia mengenai virus ini terus dilakukan, terutama mengenai gejala yang sebaiknya diketahui sehingga setiap orang bisa membatasi dirinya dan tak menjadi pembawa virus yang baru.
Informasi selengkapnya soal gejala awal infeksi virus corona dapat disimak di berita berikut:
Kenali, Ini Gejala Awal Terinfeksi Virus Corona dari Hari ke Hari
2. Status KLB virus corona di Indonesia
Sejumlah daerah di Indonesia mulai menetapkan status Kejadian Luar Biasa (KLB) terkait dengan virus corona.
Penetapan KLB tersebut merupakan kewenangan kepala daerah seiring instruksi Presiden kepada kepala daerah untuk menetapkan status gawat darurat terkait Covid-19 untuk daerahnya masing-masing.
Para kepala daerah diminta untuk terus melakukan pengawasan dan melakukan koordnasi dengan pakar medis dan Badan Nasional Penanggulangan Bencana (BNPB) untuk menentukan langkah selanjutnya.
Informasi selengkapnya terkait KLB virus corona di Indonesia dapat disimak di berita berikut:
Wilayah di Indonesia yang Tetapkan Status KLB Virus Corona
3. Update virus corona di Indonesia
Pemerintah Indonesia kembali mengumumkan 21 kasus baru virus corona atau Covid-19 pada Minggu (15/3/2020).
Jadi, jumlah pasien positif virus corona di Indonesia menjadi sebanyak 117 kasus.
Pada Sabtu (14/3/2020), jumlah kasus yang dikonfirmasi mencapai 96 kasus, yaitu bertambah 27 kasus dibanding hari sebelumnya.
Dari 96 kasus tersebut, salah satu pasien yang dikonfirmasi adalah Menteri Perhubungan Budi Karya Sumadi.
Informasi selengkapnya seputar update virus corona di Indonesia dapat disimak di berita berikut ini:
Update Virus Corona di Indonesia: 117 Terinfeksi, 8 Sembuh, dan 5 Meninggal
4. Update virus corona di Asia Tenggara
Jumlah infeksi virus corona terus bertambah di seluruh di dunia. Per Senin (16/3/2020), hampir 170.000 orang dikonfirmasi positif Covid-19.
Dari jumlah itu, sebanyak 77.257 pasien dinyatakan sembuh dan 6.513 orang meninggal dunia.
Di Asia Tenggara, beberapa negara telah melaporkan adanya kasus baru virus corona di negaranya.
Informasi selengkapnya dapat disimak di berita berikut:
Update Corona di 8 Negara Asia Tenggara: Dari Malaysia, Indonesia hingga Kamboja
5. Wilayah Indonesia yang melaporkan kasus positif corona
Kementerian Kesehatan RI merilis wilayah-wilayah yang terjangkit virus corona, Minggu (15/3/2020).
Rilis tersebut diunggah di portal covid19.kemkes.go.id.
Wilayah terjangkit adalah wilayah di Indonesia yang melaporkan kasus positif Covid-19.
Sejumlah wilayah yang dinyatakan terjangkit virus corona di antaranya DKI Jakarta, Jawa Barat (Kabupaten Bekasi, Depok, Cirebon, Purwakarta, Bandung), dan Banten (Kabupaten Tangerang, Kota Tangerang, Tangerang Selatan).
Selain itu, wilayah terjangkit lainnya yaitu Jawa Tengah (Solo), Kalimantan Barat (Pontianak), Sulawesi Utara (Manado), Bali, dan DI Yogyakarta.
Informasi selengkapnya dapat disimak di berita berikut:
Daftar Wilayah di Indonesia yang Melaporkan Kasus Positif CoronaDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
6,Ini 4 Provinsi dengan Penambahan Kasus Covid-19 Terbanyak,http://nasional.kompas.com/read/2020/03/17/16222511/ini-4-provinsi-dengan-penambahan-kasus-covid-19-terbanyak?page=all,"17/03/2020, 16:22 WIB","JAKARTA, KOMPAS.com - Juru bicara pemerintah untuk penanganan virus corona Achmad Yurianto mengatakan, kenaikan jumlah pasien positif virus corona (Covid-19) terdapat di sejumlah daerah.
Daerah dengan peningkatan kasus terbanyak di antaranya DKI Jakarta, Jawa Timur, Jawa Tengah dan Kepulauan Riau.
""Penambahan terbanyak adalah dari Provinsi DKI Jakarta, kemudian dari Jawa Timur, kemudian dari Jawa Tengah dan juga dari Provinsi Kepulauan Riau,"" kata Yuri saat memberikan keterangan di Graha BNPB, Jakarta, Selasa (17/3/2020).
Baca juga: Jumlah Bertambah 38, Total Pasien Positif Virus Corona Kini 172 Kasus
Sebelumnya, Yuri mengatakanhingga Selasa (17/3/2020) ada 172 kasus pasien positif virus corona atau Covid-19.
Dengan demikian, jumlah ini bertambah 38 orang dari pengumuman terakhir yang dilakukan pada Senin (16/3/2020) sore.
""Total ada 172 kasus, kasus meninggal tetap lima orang,"" ujar Achmad Yurianto dalam konferensi pers di Kantor BNPB, Selasa sore.
Yuri menjelaskan, sebanyak 12 kasus didapatkan sejak Senin sore hingga malam.
""Sehingga sampai tanggal 15 (Maret 2020) ada 146 kasus,"" ucapnya.
Baca juga: Positif Covid-19, Kondisi Menhub Budi Karya Dilaporkan Stabil dan Membaik
Kemudian, jumlah ini bertambah setelah dengan hasil pemeriksaan spesimen yang dilakukan Balitbang Kesehatan. Jumlahnya dari data yang dicek saat itu bertambah 20 kasus.
Setelah itu, pemeriksaan yang dilakukan Universitas Airlangga memperlihatkan bahwa ada tambahan 6 kasus.
""Sehingga total ada 172 kasus,"" ucap Achmad Yurianto.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
7,Mobilitas Penduduk DKI yang Tinggi Sebabkan Peningkatan Kasus Covid-19,http://nasional.kompas.com/read/2020/03/17/17244001/mobilitas-penduduk-dki-yang-tinggi-sebabkan-peningkatan-kasus-covid-19?page=all,"17/03/2020, 17:24 WIB","JAKARTA, KOMPAS.com - Juru bicara pemerintah untuk penanganan virus corona Achmad Yurianto menyebut DKI Jakarta sebagai salah satu daerah dengan peningkatan kasus positif virus corona (Covid-19) paling banyak.
Menurut Yuri, peningkatan jumlah kasus positif virus corona salah satunya disebabkan karena mobilitas penduduk yang cukup tinggi. 
""Kita memaklumi bahwa pintu gerbang di DKI itu gerbang masuk negara di DKI cukup besar,"" kata Yuri dalam konferensi pers di Graha BNPB, Jakarta, Selasa (17/3/2020).
Baca juga: Ini 4 Provinsi dengan Penambahan Kasus Covid-19 Terbanyak 
""Kemudian mobilitas penduduknya juga sangat tinggi dan kemungkinan terjadinya kontak dari kasus-kasus positif yang kita dapatkan juga cukup besar,"" sambungnya. 
Yuri menjelaskan, jumlah kasus positif Covid-19 khususnya di DKI Jakarta terbuka melalui penelusuran kontak atau tracing contact.
Tracing contact tersebut dilakukan oleh Dinas Kesehatan DKI Jakarta, jajaran pemerintah daerah dibantu dengan aparat Kepolisian.
""Kita bersyukur bahwa cukup banyak yang bisa kita dapatkan,"" ungkapnya. 
Baca juga: Mendagri Tito Apresiasi Langkah Anies untuk Pencegahan Corona di DKI
Sebelumnya, Yuri mengatakan, kenaikan jumlah pasien positif virus corona ( Covid-19) terdapat di sejumlah daerah.
Daerah dengan peningkatan kasus terbanyak di antaranya DKI Jakarta, Jawa Timur, Jawa Tengah dan Kepulauan Riau.
""Penambahan terbanyak adalah dari Provinsi DKI Jakarta, kemudian dari Jawa Timur, kemudian dari Jawa Tengah dan juga dari Provinsi Kepulauan Riau,"" kata Yuri saat memberikan keterangan di Graha BNPB, Jakarta, Selasa (17/3/2020).Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
8,UPDATE: Korban Meninggal Kasus Covid-19 Jadi Tujuh Orang,http://nasional.kompas.com/read/2020/03/17/22115311/update-korban-meninggal-kasus-covid-19-jadi-tujuh-orang?page=all,"17/03/2020, 22:11 WIB","JAKARTA, KOMPAS.com - Pemerintah memperbarui data kasus pasien yang meninggal setelah terpapar virus corona atau Covid-19 menjadi tujuh orang.
""Tujuh (yang meninggal),"" kata juru bicara pemerintah untuk penanganan virus corona Achmad Yurianto saat dihubungi, Selasa (17/3/2020) malam.
Sebelumnya dalam jumpa pers di BNPB, Selasa sore tadi, Yurianto menyebutkan, jumlah pasien positif yang meninggal masih lima orang.
Angka ini sama dengan jumlah pada Sabtu pekan lalu.
Baca juga: Kasus Pasien Covid-19 Meninggal Terus Bertambah, Kenapa Pemerintah Sebut Masih 5 Orang?
Padahal, hari ini Pemerintah Provinsi Jawa Tengah mengumumkan seorang pasien positif virus corona yang meninggal dunia di RSUP Kariadi, Semarang, Jawa Tengah.
Kepala Dinas Kesehatan Jawa Tengah Yulianto Prabowo mengatakan, pasien positif corona tersebut meninggal pada Selasa (17/3/2020) dini hari sekitar 03.48 WIB.
Pasien ini dinyatakan positif terinfeksi virus corona sehari sebelumnya.
Saat ditanya wartawan mengenai pasien yang meninggal di Semarang itu, Yuri mengakui bahwa ada penambahan jumlah pasien yang meninggal.
Baca juga: Pasien Positif Corona yang Meninggal di RSUP Kariadi Semarang Sempat Jalani Perawatan Selama 10 Hari
Menurut dia, ada tambahan dua pasien yang meninggal sehingga jumlahnya kini menjadi tujuh orang. Namun, ia tak merinci satu kasus lainnya.
Yuri menyatakan bahwa dia belum mendapatkan data tersebut dalam jumpa pers sore tadi.
Hal ini menyebabkan dia menyebut pasien yang meninggal tetap berjumlah lima orang.
""Saya umumkannya jam berapa, terus saya dikasih tahu rumah sakitnya jam berapa. Kan kita enggak pernah mempermasalahkan angka, wong ini suatu yang dinamis, bergerak terus,"" kata Yuri.
Adapun total kasus positif corona sampai hari ini berjumlah 172 kasus. Dari jumlah itu, sembilan pasien dinyatakan sembuh.
Jumlah pasien Covid-19 yang diumumkan pada Selasa sore ini bertambah 38 kasus dari yang diumumkan kemarin.
Penambahan jumlah kasus itu merupakan pasien yang berasal dari DKI Jakarta, Jawa Timur, Jawa Tengah, dan Kepulauan Riau.
Akan tetapi, dia tidak menyebutkan jumlah pasien secara spesifik di setiap provinsi.
""Terbanyak berasal Provinsi DKI Jakarta, kemudian Jawa Timur, Jawa Tengah, dan Kepulauan Riau,"" ucapnya.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
9,"Berbeda Data Kasus Covid-19 dengan Pemprov Banten, Ini Penjelasan Satuan Gugus Tugas Tangsel",http://megapolitan.kompas.com/read/2020/03/18/17023851/berbeda-data-kasus-covid-19-dengan-pemprov-banten-ini-penjelasan-satuan?page=all,"18/03/2020, 17:02 WIB","TANGERANG SELATAN, KOMPAS.com - Data Satuan gugus tugas Tangerang Selatan terkait Covid-19 per Selasa (17/3/2020), menyatakan bahwa sebanyak 41 warga Tangsel terkait virus corona.
Rinciannya, 36 orang dalam pemantauan, empat pasien dalam pengawasan, dan satu pasien positif Covid yang meninggal dunia. 
Namun, data tersebut berbeda dari yang di rilis oleh Pemprov Banten melalui web Infocorona.bantenprov.go.id. 
Baca juga: 1 Warga Tangsel Meninggal karena Covid-19, Dinkes Beri Penanganan bagi Keluarga
Dari data yang baru di-update Selasa sore memaparkan 43 ODP, dengan 12 orang di antaranya telah sembuh.
Untuk PDP ada tujuh orang, dengan satu diantaranya sudah sembuh. Sementara pasien positif Covid-19 sebanyak 3 orang, namun satu di antaranya meninggal dunia.
Juru Bicara Gugus Tugas Covid-19 Tangsel, Tulus Muladiono mengatakan, jumlah kasus Covid-19 yang mereka paparkan merupakan data yang diterima dari Kementerian Kesehatan.
""Notifikasi satu dari Kementerian (Kesehatan), dua kami data dari semua pelayanan rumah sakit yang ada di Tangsel,"" kata Tulus saat di Pemkot Tangerang Selatan, Rabu (18/3/2020).
Satuan gugus tugas Tangsel pun sudah memaparkan data terbaru yang telah dikumpulkan pada Rabu, ini. 
Dalam data yang didapat, ada 76 warga Tangsel dengan diantaranya 64 masuk ODP, 11 PDP, dan 1 positif Covid-19 yang meninggal dunia. 
Namun, data terbaru tersebut masih berbeda dari Pemprov Banten. Salah satunya soal pasien positif Covid-19 yang masih disebut satu orang. 
Baca juga: RSU Tangsel Batasi Pembesuk untuk Cegah Penyebaran Corona
""Kami data yang masuk per tanggal itu, data itu (positif 2 orang) saya belum dapat. Jadi kalau teman-teman dapat ya kami akan kroscek ke sana. Ini data yang mana, jangan sampai data yang belum valid kan malah menjadi kepanikan,"" katanya. 
Menurut Tulus, satuan gugus tugas akan kembali melalukan pengecekan untuk menyesuaikan data dengan Pemprov Banten. 
""Mungkin kalau sudah dapat, ya kami akan rilis besok,"" tutupnya.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",1
